iter	MultiClass
0	1.259262231
1	1.04253666
2	0.8856635025
3	0.7601849395
4	0.660140871
5	0.5777935936
6	0.5088852208
7	0.4520988883
8	0.4017313075
9	0.3581719886
10	0.3202791985
11	0.2870378711
12	0.2578304589
13	0.2319516167
14	0.2089632363
15	0.1885016322
16	0.1702579071
17	0.1539335289
18	0.1392944294
19	0.1261486038
20	0.1143837552
21	0.1037632204
22	0.09416925798
23	0.08550778993
24	0.07768421282
25	0.07061212907
26	0.06420886236
27	0.05842993618
28	0.05318524167
29	0.04843492571
30	0.04409987227
31	0.04016480416
32	0.03659398338
33	0.03335090338
34	0.03040601473
35	0.02772922185
36	0.02529570757
37	0.02311172745
38	0.02109141291
39	0.01929372956
40	0.01762044693
41	0.01609804048
42	0.01472374042
43	0.01345732829
44	0.01233569307
45	0.0112866371
46	0.01032606154
47	0.009452293031
48	0.00865458891
49	0.007928373661
50	0.007267421081
51	0.006675573569
52	0.00612573551
53	0.005624003914
54	0.005164341308
55	0.004746592844
56	0.00436566775
57	0.004018113691
58	0.003700645637
59	0.003434195181
60	0.003168239771
61	0.002924887156
62	0.002717884268
63	0.00251330282
64	0.002326441779
65	0.002160124947
66	0.002003815589
67	0.001860408732
68	0.001730667221
69	0.001610503171
70	0.001500291739
71	0.001399301455
72	0.001318033599
73	0.00123219509
74	0.001159664669
75	0.001086465312
76	0.001019594901
77	0.0009578095164
78	0.0009011356822
79	0.0008490043002
80	0.0008009142501
81	0.000756612455
82	0.0007157290639
83	0.0006778347246
84	0.0006429052997
85	0.0006105568501
86	0.0005806082291
87	0.0005676984038
88	0.0005409441681
89	0.0005167129393
90	0.0004945433847
91	0.0004767319986
92	0.0004681170814
93	0.0004517024267
94	0.0004441834294
95	0.0004374205636
96	0.000434331227
97	0.0004241845327
98	0.0004216924197
99	0.0004194539467
100	0.0004030805905
101	0.0003891568137
102	0.0003811863793
103	0.0003735616983
104	0.0003599581165
105	0.0003562546066
106	0.0003551865532
107	0.0003541551149
108	0.0003479904513
109	0.0003472185893
110	0.0003464569088
111	0.0003373499613
112	0.0003320103403
113	0.0003269230429
114	0.0003244773074
115	0.0003240157736
116	0.0003235913236
117	0.0003155723608
118	0.0003152223127
119	0.0003050635072
120	0.0003047694698
121	0.0002976329552
122	0.0002883548188
123	0.0002881374288
124	0.000287973812
125	0.0002877773756
126	0.0002790523291
127	0.0002729824142
128	0.0002728239325
129	0.0002726759498
130	0.0002725518835
131	0.0002645975307
132	0.000264481334
133	0.0002569544257
134	0.0002498436492
135	0.0002497587458
136	0.0002496683818
137	0.000249592303
138	0.0002482642113
139	0.0002482009253
140	0.000243309876
141	0.0002387565615
